iter	RMSE
0	1688.319907
1	1679.652312
2	1670.574027
3	1661.56889
4	1653.294742
5	1644.55669
6	1636.177651
7	1627.935269
8	1620.561977
9	1612.566498
10	1605.594442
11	1597.420355
12	1589.33342
13	1581.875129
14	1574.026199
15	1566.760065
16	1559.212181
17	1551.791243
18	1544.396081
19	1537.528575
20	1530.53491
21	1524.090161
22	1517.437986
23	1510.861389
24	1504.423056
25	1497.980288
26	1491.525123
27	1485.062395
28	1478.791734
29	1472.535777
30	1466.311598
31	1461.083794
32	1454.945612
33	1449.155585
34	1443.263034
35	1437.682134
36	1431.90921
37	1426.14738
38	1420.492052
39	1414.984473
40	1409.760422
41	1404.964731
42	1399.876768
43	1394.611551
44	1389.534792
45	1384.363686
46	1379.405319
47	1374.511476
48	1369.812994
49	1365.25475
50	1360.58204
51	1355.958725
52	1351.492301
53	1346.95434
54	1342.523331
55	1338.342707
56	1334.166409
57	1330.345721
58	1326.099139
59	1322.227065
60	1318.169737
61	1314.367935
62	1310.378642
63	1306.867667
64	1303.002893
65	1299.203569
66	1295.64458
67	1291.87427
68	1288.393494
69	1285.58419
70	1282.086369
71	1278.794822
72	1275.542931
73	1272.324638
74	1269.503423
75	1266.440237
76	1263.263629
77	1260.263571
78	1257.238525
79	1254.285409
80	1251.275086
81	1248.387712
82	1245.555736
83	1242.725085
84	1240.056659
85	1237.386858
86	1234.727369
87	1232.121553
88	1229.618856
89	1226.930218
90	1224.301211
91	1221.894713
92	1219.329054
93	1217.050023
94	1214.772944
95	1212.530573
96	1210.09952
97	1207.946641
98	1205.689921
99	1203.434543
100	1201.242559
101	1199.177339
102	1197.031107
103	1194.987524
104	1193.04528
105	1191.183249
106	1189.224525
107	1187.359516
108	1185.607149
109	1183.868031
110	1181.912402
111	1179.958601
112	1178.196901
113	1176.480221
114	1174.657587
115	1172.965765
116	1171.255513
117	1169.84417
118	1168.223012
119	1166.616128
120	1165.167464
121	1163.579487
122	1162.048421
123	1160.48734
124	1158.966394
125	1157.687949
126	1156.205115
127	1154.855352
128	1153.518183
129	1152.090614
130	1150.779206
131	1149.53919
132	1148.194395
133	1146.955635
134	1145.731813
135	1144.439677
136	1143.310493
137	1142.100548
138	1140.855699
139	1139.639986
140	1138.506381
141	1137.547538
142	1136.427174
143	1135.227957
144	1134.126772
145	1133.099604
146	1132.161724
147	1131.115973
148	1130.155399
149	1129.290449
150	1128.290731
151	1127.28552
152	1126.325033
153	1125.391883
154	1124.439768
155	1123.493218
156	1122.565891
157	1121.710962
158	1120.782324
159	1119.951823
160	1119.106433
161	1118.298075
162	1117.516832
163	1116.70618
164	1115.877346
165	1115.140639
166	1114.53172
167	1113.842337
168	1113.01258
169	1112.369609
170	1111.640635
171	1111.115545
172	1110.410433
173	1109.698097
174	1109.102587
175	1108.37252
176	1107.658625
177	1106.977535
178	1106.461595
179	1105.90195
180	1105.422956
181	1104.771037
182	1104.213846
183	1103.572251
184	1102.895449
185	1102.261758
186	1101.716306
187	1101.29248
188	1100.777998
189	1100.207288
190	1099.777466
191	1099.228636
192	1098.882375
193	1098.404998
194	1097.856165
195	1097.401196
196	1096.950963
197	1096.450881
198	1096.073907
199	1095.606779
200	1095.179959
201	1094.743319
202	1094.297952
203	1093.896997
204	1093.4938
205	1093.060361
206	1092.606005
207	1092.208393
208	1091.721252
209	1091.312367
210	1090.908168
211	1090.532817
212	1090.159692
213	1089.788032
214	1089.389753
215	1089.049078
216	1088.594984
217	1088.23882
218	1087.847034
219	1087.486104
220	1087.251186
221	1086.868513
222	1086.567355
223	1086.205741
224	1085.876246
225	1085.519289
226	1085.232984
227	1084.967815
228	1084.670594
229	1084.364879
230	1084.050846
231	1083.663769
232	1083.359358
233	1083.075048
234	1082.89927
235	1082.59784
236	1082.306931
237	1082.079004
238	1081.769639
239	1081.555789
240	1081.298234
241	1081.088813
242	1080.878301
243	1080.606776
244	1080.3576
245	1080.075167
246	1079.832747
247	1079.614486
248	1079.334283
249	1079.128958
250	1078.90156
251	1078.646082
252	1078.419638
253	1078.23357
254	1077.990899
255	1077.800399
256	1077.563386
257	1077.312724
258	1077.085762
259	1076.815267
260	1076.561046
261	1076.305738
262	1076.067852
263	1075.826564
264	1075.607269
265	1075.371637
266	1075.167981
267	1075.004955
268	1074.840269
269	1074.66653
270	1074.475072
271	1074.24705
272	1074.053173
273	1073.832677
274	1073.641444
275	1073.450011
276	1073.296245
277	1073.102416
278	1072.909172
279	1072.819047
280	1072.679261
281	1072.523551
282	1072.316377
283	1072.124966
284	1071.955304
285	1071.80445
286	1071.694538
287	1071.530989
288	1071.347459
289	1071.168467
290	1071.020248
291	1070.86931
292	1070.688132
293	1070.569995
294	1070.449354
295	1070.347898
296	1070.155761
297	1070.039652
298	1069.917874
299	1069.761148
300	1069.654846
301	1069.442988
302	1069.336989
303	1069.191528
304	1069.05386
305	1068.941102
306	1068.779659
307	1068.63845
308	1068.53197
309	1068.364385
310	1068.270609
311	1068.178355
312	1068.021196
313	1067.9234
314	1067.813509
315	1067.709121
316	1067.616642
317	1067.433966
318	1067.386614
319	1067.290538
320	1067.229583
321	1067.149975
322	1067.054209
323	1066.857043
324	1066.737257
325	1066.546734
326	1066.288472
327	1066.160089
328	1065.953747
329	1065.806389
330	1065.707426
331	1065.609769
332	1065.470054
333	1065.374882
334	1065.251148
335	1065.055314
336	1064.939116
337	1064.849809
338	1064.777875
339	1064.700156
340	1064.561688
341	1064.493307
342	1064.328553
343	1064.254915
344	1064.154279
345	1064.052931
346	1063.924462
347	1063.808171
348	1063.744015
349	1063.669806
350	1063.542101
351	1063.424102
352	1063.276548
353	1063.157275
354	1063.141873
355	1063.089795
356	1063.032864
357	1062.939924
358	1062.804967
359	1062.73303
360	1062.661195
361	1062.557919
362	1062.506449
363	1062.425058
364	1062.366057
365	1062.285678
366	1062.171913
367	1062.138621
368	1062.046605
369	1061.941695
370	1061.920608
371	1061.899249
372	1061.82587
373	1061.722845
374	1061.696545
375	1061.644934
376	1061.573527
377	1061.438997
378	1061.350701
379	1061.26557
380	1061.226978
381	1061.178382
382	1060.987721
383	1060.91749
384	1060.869486
385	1060.757509
386	1060.70211
387	1060.575666
388	1060.508898
389	1060.43304
390	1060.304025
391	1060.235001
392	1060.162082
393	1060.066287
394	1059.990977
395	1059.968221
396	1059.914794
397	1059.780299
398	1059.748672
399	1059.68032
400	1059.578359
401	1059.479315
402	1059.428384
403	1059.399185
404	1059.392433
405	1059.366049
406	1059.326886
407	1059.281251
408	1059.185776
409	1059.14259
410	1059.037225
411	1058.951337
412	1058.841324
413	1058.782709
414	1058.767817
415	1058.74311
416	1058.711533
417	1058.671548
418	1058.615079
419	1058.528841
420	1058.41314
421	1058.364626
422	1058.276926
423	1058.187851
424	1058.137102
425	1058.111303
426	1058.077354
427	1058.011083
428	1057.859325
429	1057.77
430	1057.723157
431	1057.709933
432	1057.576905
433	1057.503061
434	1057.453698
435	1057.37915
436	1057.32735
437	1057.255821
438	1057.170164
439	1057.108308
440	1057.077129
441	1057.014176
442	1056.975707
443	1056.928813
444	1056.898217
445	1056.808803
446	1056.75963
447	1056.686429
448	1056.680199
449	1056.613958
450	1056.517384
451	1056.426264
452	1056.419053
453	1056.390897
454	1056.355788
455	1056.302143
456	1056.248537
457	1056.218408
458	1056.166242
459	1056.151217
460	1056.084143
461	1055.967753
462	1055.929677
463	1055.879927
464	1055.824329
465	1055.771816
466	1055.687669
467	1055.633944
468	1055.600952
469	1055.540068
470	1055.512481
471	1055.512258
472	1055.438051
473	1055.362835
474	1055.276796
475	1055.226978
476	1055.220377
477	1055.126726
478	1055.033651
479	1054.932117
480	1054.841395
481	1054.784014
482	1054.728133
483	1054.659184
484	1054.573792
485	1054.541491
486	1054.477142
487	1054.465037
488	1054.458222
489	1054.420887
490	1054.393111
491	1054.326508
492	1054.22712
493	1054.200078
494	1054.122061
495	1054.044788
496	1053.920608
497	1053.914427
498	1053.79993
499	1053.757655
500	1053.667432
501	1053.637028
502	1053.630123
503	1053.561285
504	1053.489915
505	1053.410453
506	1053.365411
507	1053.226818
508	1053.161522
509	1053.097769
510	1053.053529
511	1053.014708
512	1052.985682
513	1052.89496
514	1052.879695
515	1052.811988
516	1052.79187
517	1052.742201
518	1052.696444
519	1052.617709
520	1052.522132
521	1052.494002
522	1052.436426
523	1052.39497
524	1052.359148
525	1052.329771
526	1052.312053
527	1052.255329
528	1052.180775
529	1052.171045
530	1052.125094
531	1052.027375
532	1051.994752
533	1051.901909
534	1051.878109
535	1051.834588
536	1051.731662
537	1051.712564
538	1051.653338
539	1051.541997
540	1051.498551
541	1051.430239
542	1051.418328
543	1051.411091
544	1051.374017
545	1051.34867
546	1051.261497
547	1051.24002
548	1051.239334
549	1051.191757
550	1051.19154
551	1051.136518
552	1051.130822
553	1051.083311
554	1051.045272
555	1050.96175
556	1050.926847
557	1050.866383
558	1050.860729
559	1050.828619
560	1050.758571
561	1050.717891
562	1050.639509
563	1050.566319
564	1050.5607
565	1050.535933
566	1050.488003
567	1050.488001
568	1050.384018
569	1050.285322
570	1050.279742
571	1050.224602
572	1050.193286
573	1050.09647
574	1050.052709
575	1050.04059
576	1050.0053
577	1049.942706
578	1049.914718
579	1049.884665
580	1049.884081
581	1049.805749
582	1049.694488
583	1049.65521
584	1049.633355
585	1049.586699
586	1049.566358
587	1049.557575
588	1049.513631
589	1049.453043
590	1049.452463
591	1049.41848
592	1049.372732
593	1049.293957
594	1049.239311
595	1049.191432
596	1049.154856
597	1049.148737
598	1049.148001
599	1049.102188
600	1049.065962
601	1048.986569
602	1048.979662
603	1048.96187
604	1048.88851
605	1048.789362
606	1048.782103
607	1048.748541
608	1048.704282
609	1048.612065
610	1048.580775
611	1048.532873
612	1048.517653
613	1048.469052
614	1048.430326
615	1048.413846
616	1048.383481
617	1048.347349
618	1048.331239
619	1048.266422
620	1048.129496
621	1048.117161
622	1048.10473
623	1048.06993
624	1047.925952
625	1047.917335
626	1047.877905
627	1047.877318
628	1047.830316
629	1047.744105
630	1047.730809
631	1047.708169
632	1047.672835
633	1047.632503
634	1047.54912
635	1047.522392
636	1047.424996
637	1047.420299
638	1047.419153
639	1047.32231
640	1047.21444
641	1047.196708
642	1047.186282
643	1047.185976
644	1047.13059
645	1047.072966
646	1046.986273
647	1046.898665
648	1046.89844
649	1046.859412
650	1046.834646
651	1046.804674
652	1046.772177
653	1046.744634
654	1046.744627
655	1046.701474
656	1046.576876
657	1046.524493
658	1046.466443
659	1046.416335
660	1046.387621
661	1046.382646
662	1046.3018
663	1046.274318
664	1046.274311
665	1046.253621
666	1046.220127
667	1046.161599
668	1046.148587
669	1046.104644
670	1046.067069
671	1046.009687
672	1045.97954
