iter	Passed	Remaining
0	107	75314
1	184	64394
2	267	62058
3	390	67876
4	520	72383
5	602	69648
6	684	67803
7	770	66631
8	815	62621
9	909	62782
10	1002	62797
11	1076	61706
12	1148	60693
13	1230	60285
14	1304	59567
15	1376	58858
16	1462	58757
17	1557	59003
18	1676	60099
19	1797	61112
20	1942	62822
21	2060	63506
22	2189	64456
23	2304	64903
24	2465	66577
25	2585	67011
26	2682	66866
27	2783	66810
28	2874	66506
29	2946	65815
30	3029	65385
31	3081	64330
32	3150	63675
33	3212	62932
34	3266	62065
35	3330	61420
36	3390	60753
37	3460	60290
38	3514	59562
39	3581	59101
40	3644	58570
41	3709	58114
42	3762	57482
43	3822	56989
44	3890	56629
45	3977	56543
46	4053	56321
47	4114	55892
48	4171	55421
49	4256	55329
50	4322	55002
51	4388	54688
52	4469	54557
53	4559	54546
54	4642	54445
55	4723	54322
56	4805	54204
57	4893	54169
58	4971	54008
59	5040	53768
60	5108	53513
61	5191	53417
62	5253	53117
63	5316	52828
64	5369	52452
65	5452	52377
66	5541	52358
67	5606	52106
68	5664	51804
69	5708	51375
70	5776	51173
71	5840	50945
72	5894	50625
73	5943	50275
74	6003	50026
75	6060	49762
76	6121	49526
77	6187	49340
78	6240	49056
79	6303	48855
80	6367	48663
81	6421	48399
82	6479	48169
83	6539	47957
84	6600	47757
85	6668	47610
86	6729	47412
87	6783	47175
88	6854	47054
89	6916	46877
90	6981	46723
91	7048	46582
92	7103	46366
93	7162	46177
94	7256	46215
95	7347	46225
96	7421	46133
97	7506	46108
98	7597	46124
99	7686	46120
100	7763	46040
101	7834	45934
102	7902	45803
103	7963	45638
104	8039	45558
105	8140	45615
106	8214	45526
107	8290	45443
108	8353	45294
109	8437	45257
110	8501	45112
111	8597	45138
112	8670	45038
113	8763	45046
114	8834	44939
115	8892	44768
116	8947	44582
117	9021	44494
118	9107	44467
119	9171	44328
120	9226	44149
121	9324	44177
122	9449	44330
123	9557	44394
124	9660	44438
125	9776	44537
126	9895	44644
127	9994	44663
128	10087	44652
129	10172	44600
130	10272	44618
131	10341	44499
132	10411	44384
133	10511	44400
134	10604	44382
135	10710	44415
136	10826	44492
137	10942	44562
138	11039	44555
139	11161	44645
140	11319	44877
141	11482	45121
142	11588	45140
143	11666	45044
144	11777	45079
145	11866	45026
146	11949	44951
147	12041	44909
148	12154	44948
149	12239	44879
150	12335	44850
151	12427	44804
152	12528	44790
153	12649	44847
154	12770	44901
155	12858	44841
156	12976	44880
157	13077	44861
158	13152	44751
159	13256	44739
160	13370	44762
161	13475	44751
162	13586	44761
163	13673	44688
164	13802	44754
165	13927	44802
166	14018	44743
167	14112	44688
168	14240	44743
169	14332	44684
170	14405	44563
171	14486	44468
172	14567	44374
173	14646	44276
174	14732	44198
175	14831	44157
176	14916	44073
177	15023	44059
178	15122	44015
179	15222	43975
180	15271	43790
181	15366	43734
182	15445	43636
183	15538	43576
184	15630	43511
185	15725	43456
186	15805	43360
187	15867	43212
188	15965	43167
189	16063	43117
190	16145	43026
191	16234	42954
192	16282	42773
193	16349	42643
194	16410	42498
195	16473	42360
196	16560	42285
197	16648	42208
198	16703	42052
199	16774	41936
200	16859	41855
201	16926	41729
202	16996	41612
203	17050	41456
204	17135	41376
205	17218	41290
206	17272	41137
207	17356	41054
208	17448	40991
209	17572	41002
210	17731	41093
211	17833	41050
212	17913	40956
213	17971	40814
214	18041	40698
215	18115	40591
216	18181	40469
217	18227	40301
218	18278	40146
219	18333	40000
220	18387	39852
221	18437	39698
222	18483	39537
223	18527	39370
224	18600	39268
225	18681	39181
226	18793	39160
227	18898	39122
228	19011	39102
229	19122	39076
230	19245	39073
231	19312	38957
232	19382	38848
233	19443	38720
234	19471	38529
235	19541	38419
236	19606	38302
237	19662	38169
238	19727	38050
239	19779	37911
240	19896	37893
241	19945	37747
242	20012	37636
243	20086	37539
244	20157	37435
245	20241	37355
246	20310	37249
247	20369	37124
248	20435	37012
249	20500	36901
250	20558	36776
251	20609	36639
252	20662	36506
253	20724	36390
254	20795	36290
255	20857	36175
256	20907	36039
257	20961	35910
258	21033	35814
259	21090	35691
260	21145	35567
261	21198	35438
262	21251	35310
263	21314	35201
264	21382	35099
265	21442	34984
266	21484	34842
267	21546	34731
268	21618	34637
269	21686	34537
270	21743	34421
271	21808	34316
272	21866	34202
273	21933	34100
274	21992	33988
275	22035	33852
276	22085	33725
277	22135	33602
278	22197	33495
279	22245	33368
280	22307	33262
281	22365	33151
282	22438	33063
283	22495	32950
284	22583	32884
285	22658	32799
286	22713	32685
287	22776	32583
288	22860	32510
289	22925	32411
290	22979	32298
291	23041	32195
292	23106	32096
293	23179	32010
294	23240	31906
295	23293	31792
296	23345	31677
297	23408	31577
298	23461	31465
299	23517	31356
300	23554	31223
301	23607	31111
302	23656	30995
303	23711	30887
304	23777	30793
305	23878	30745
306	23939	30645
307	23999	30544
308	24066	30452
309	24124	30350
310	24189	30256
311	24229	30131
312	24307	30054
313	24379	29969
314	24451	29885
315	24505	29779
316	24556	29669
317	24624	29580
318	24663	29457
319	24720	29355
320	24755	29228
321	24817	29133
322	24991	29169
323	25105	29135
324	25194	29070
325	25273	28994
326	25351	28918
327	25424	28835
328	25494	28749
329	25566	28665
330	25626	28568
331	25687	28472
332	25744	28372
333	25807	28280
334	25865	28181
335	25933	28095
336	25992	27997
337	26052	27902
338	26105	27799
339	26168	27707
340	26234	27618
341	26289	27519
342	26341	27416
343	26401	27322
344	26467	27235
345	26535	27149
346	26589	27049
347	26649	26956
348	26724	26877
349	26793	26793
350	26857	26704
351	26915	26609
352	26963	26505
353	27052	26441
354	27071	26308
355	27123	26208
356	27173	26108
357	27232	26015
358	27300	25931
359	27405	25883
360	27477	25803
361	27566	25738
362	27666	25685
363	27737	25603
364	27796	25511
365	27864	25428
366	27943	25354
367	27977	25240
368	28046	25158
369	28106	25068
370	28126	24942
371	28143	24815
372	28201	24723
373	28268	24640
374	28302	24529
375	28355	24434
376	28406	24337
377	28486	24266
378	28559	24189
379	28611	24093
380	28666	24001
381	28710	23899
382	28763	23806
383	28820	23716
384	28871	23621
385	28928	23532
386	28982	23440
387	29040	23352
388	29113	23275
389	29193	23205
390	29248	23114
391	29303	23023
392	29367	22940
393	29446	22869
394	29522	22795
395	29546	22682
396	29599	22591
397	29647	22495
398	29721	22421
399	29789	22342
400	29845	22254
401	29911	22172
402	29981	22095
403	30082	22040
404	30131	21947
405	30224	21886
406	30298	21811
407	30425	21774
408	30514	21710
409	30597	21642
410	30691	21580
411	30790	21523
412	30877	21457
413	30998	21414
414	31046	21320
415	31173	21282
416	31310	21249
417	31428	21202
418	31524	21141
419	31608	21072
420	31686	20998
421	31764	20925
422	31856	20861
423	31938	20789
424	32006	20710
425	32057	20619
426	32119	20535
427	32190	20457
428	32243	20368
429	32299	20280
430	32359	20196
431	32434	20121
432	32504	20042
433	32568	19961
434	32620	19872
435	32675	19785
436	32753	19712
437	32822	19633
438	32892	19555
439	32952	19471
440	33038	19403
441	33121	19333
442	33188	19253
443	33280	19188
444	33352	19112
445	33419	19032
446	33520	18972
447	33626	18914
448	33775	18881
449	33895	18830
450	33971	18755
451	34034	18674
452	34052	18567
453	34109	18482
454	34173	18400
455	34250	18326
456	34310	18243
457	34364	18157
458	34412	18068
459	34439	17968
460	34525	17899
461	34604	17826
462	34685	17754
463	34740	17669
464	34804	17589
465	34870	17510
466	34933	17429
467	34990	17345
468	35056	17266
469	35120	17186
470	35280	17153
471	35304	17053
472	35385	16982
473	35456	16905
474	35525	16827
475	35586	16746
476	35633	16658
477	35690	16576
478	35763	16500
479	35822	16418
480	35879	16335
481	35934	16252
