id,product_code,product_weight_kg,fat_content,shelf_visibility,product_category,product_price,store_code,store_age_years,store_size,store_location_tier,store_format,total_sales,relative_category_price,relative_product_price
row_00000,PRD-PRFP9S,14.252,Low Fat,0.0271,Frozen Foods,81.37,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1764.98,0.5969445334946621,1.0392081736909324
row_00001,PRD-PXXK71,7.698,Low Fat,0.072,Health And Hygiene,42.05,STORE-YLW,35,Small,Tier_1,Standard Supermarket,342.13,0.3450601243516775,0.9434173920847168
row_00002,PRD-V5MOIJ,14.264,Regular,0.0421,Canned,41.35,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,378.85,0.29888685427910566,0.9903796255638498
row_00003,PRD-UN5Z3J,12.899666666666668,Regular,0.0449,Soft Drinks,174.35,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,5595.72,1.6066685458428647,0.9874270827433879
row_00004,PRD-6RDQYB,10.338,Regular,0.012,Meat,203.06,STORE-9RG,28,Small,Tier_2,Standard Supermarket,2375.36,1.3552298777795653,1.031756516437173
row_00005,PRD-E6VA05,9.222,Low Fat,0.0405,Soft Drinks,31.69,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,842.75,0.27048237693503324,0.9887675507020283
row_00006,PRD-MHLD93,6.2568,Low Fat,0.1239,Canned,212.23,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,4512.7,1.5992853953927482,1.0127812552194766
row_00007,PRD-EF6Y39,10.21,Regular,0.0133,Snack Foods,142.7,STORE-HL7,23,Medium,Tier_3,Superstore,2373.55,0.9919017822538517,1.0075667533567907
row_00008,PRD-IAZMTU,14.054,Low Fat,0.0233,Baking Goods,102.71,STORE-HL7,23,Medium,Tier_3,Superstore,2037.05,0.8089496220250852,1.006023801361477
row_00010,PRD-DH2TA3,8.755,Low Fat,0.0258,Household,104.6,STORE-JOR,34,Small,Tier_3,Corner Shop,213.93,0.7160179933502835,0.9971401334604384
row_00011,PRD-ONGWUL,13.033833333333334,Low Fat,0.073,Household,254.12,STORE-T5G,47,Small,Tier_1,Corner Shop,250.01,1.641261273729615,0.9948616562105449
row_00012,PRD-UX01UP,11.007,Low Fat,0.0304,Snack Foods,234.38,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,4414.42,1.6259601587646542,0.9731974173189114
row_00013,PRD-741NWE,9.558,Regular,0.0,Baking Goods,49.35,STORE-AGY,45,Large,Tier_3,Standard Supermarket,671.2,0.39756819058737397,0.99000962927299
row_00014,PRD-PGW90J,13.812,Low Fat,0.0431,Dairy,52.83,STORE-YLW,35,Small,Tier_1,Standard Supermarket,585.91,0.3680732519375999,0.9992434272744466
row_00016,PRD-9USY38,6.997,Low Fat,0.0908,Snack Foods,112.4,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,1305.37,0.7931627515932814,0.983183537798771
row_00017,PRD-GH9N12,11.154,Regular,0.1041,Baking Goods,103.22,STORE-9RG,28,Small,Tier_2,Standard Supermarket,2306.15,0.8636198131727323,1.0031341869335988
row_00018,PRD-HVVZBL,18.895,Regular,0.0711,Dairy,116.9,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1784.08,0.7922550552019336,0.9756789690687233
row_00021,PRD-2CQ23Q,7.746,Low Fat,0.0297,Canned,167.19,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1774.73,1.3178756312428135,1.0
row_00022,PRD-SUDBCI,12.896,Low Fat,0.042,Snack Foods,178.49,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,4054.27,1.2595339816003985,0.9854883087484242
row_00024,PRD-5QVWC9,6.085,Low Fat,0.1235,Household,261.49,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,2391.62,1.7500320344094444,0.9933445270891422
row_00025,PRD-8MX1EV,18.8814,Low Fat,0.0148,Soft Drinks,51.5,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1252.75,0.47458233502097813,0.998804021075088
row_00028,PRD-SB61LG,20.321,Regular,0.0493,Fruits And Vegetables,187.72,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,2025.17,1.299981627259494,1.0017476686633668
row_00029,PRD-VTTR5G,13.707,Regular,0.0569,Breakfast,234.53,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,3050.74,1.783470973825493,0.9999744175734215
row_00030,PRD-2YAZQT,15.428,Regular,0.0819,Frozen Foods,48.98,STORE-YLW,35,Small,Tier_1,Standard Supermarket,753.42,0.38069477963150794,0.9970145202876917
row_00031,PRD-Q8LYYX,11.265,Regular,0.0735,Frozen Foods,171.96,STORE-YLW,35,Small,Tier_1,Standard Supermarket,2442.31,1.3365511291432035,1.0002659132458034
row_00032,PRD-PZPHJM,16.71,Regular,0.166,Snack Foods,140.0,STORE-9RG,28,Small,Tier_2,Standard Supermarket,586.83,0.9854958432206373,0.9926262053318208
row_00035,PRD-S1R8NF,13.385,Regular,0.0266,Snack Foods,82.19,STORE-AGY,45,Large,Tier_3,Standard Supermarket,799.46,0.5673619575435146,1.0280726207069082
row_00036,PRD-0QD58X,17.104,Regular,0.0158,Breads,46.03,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,501.46,0.37615538400922266,1.0069455838118677
row_00038,PRD-99VH0W,7.73,Low Fat,0.0511,Fruits And Vegetables,75.49,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,453.78,0.532749936043896,0.9706203792992606
row_00039,PRD-2SLHIM,20.799,Low Fat,0.0099,Meat,187.29,STORE-YLW,35,Small,Tier_1,Standard Supermarket,536.28,1.1850501276293903,1.012259825425851
row_00040,PRD-NAMSQE,12.376,Regular,0.2992,Baking Goods,79.91,STORE-JOR,34,Small,Tier_3,Corner Shop,150.54,0.6430094548380608,1.019758810642959
row_00043,PRD-6Z6CCC,8.763,Low Fat,0.1182,Canned,95.64,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1822.06,0.7538825609908648,1.0140486667020092
row_00044,PRD-IWHL8Z,7.594,Low Fat,0.0265,Canned,148.02,STORE-9RG,28,Small,Tier_2,Standard Supermarket,2701.99,1.008773916121274,0.9785799285997622
row_00046,PRD-HZXGUJ,8.078,Low Fat,0.0169,Dairy,52.02,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,847.29,0.36706458709770096,1.0203201004236624
row_00047,PRD-P2S2O8,10.8,Low Fat,0.0229,Fruits And Vegetables,55.11,STORE-YLW,35,Small,Tier_1,Standard Supermarket,434.23,0.3535094799303485,0.9631584466426649
row_00048,PRD-ONGWUL,13.273,Low Fat,0.0406,Household,255.41,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,3395.84,1.7093413970267168,0.9999119141064664
row_00050,PRD-8MX1EV,19.18,Low Fat,0.0147,Soft Drinks,51.69,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,915.3,0.38385421114580737,1.0024889291140058
row_00051,PRD-0FOH3H,14.28,Regular,0.0291,Dairy,142.14,STORE-AGY,45,Large,Tier_3,Standard Supermarket,3147.38,0.9314912263541931,0.9766655672823218
row_00052,PRD-8Q2Y4P,8.764,Regular,0.067,Breakfast,54.58,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,682.75,0.4150507216620279,0.9834824914409273
row_00053,PRD-KFRZWZ,12.82375,Low Fat,0.1239,Meat,53.67,STORE-T5G,47,Small,Tier_1,Corner Shop,312.81,0.36993937287033346,1.0156116945784843
row_00054,PRD-08I4W0,5.916,Low Fat,0.0792,Baking Goods,37.81,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,551.33,0.30844126242244224,1.0049614600868255
row_00055,PRD-4EYNIN,7.09,Low Fat,0.0791,Household,120.27,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,1508.35,0.8221248693437072,1.028270968109664
row_00058,PRD-5R5L6R,6.555,Low Fat,0.0837,Frozen Foods,38.87,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,708.47,0.279036814680812,0.9669154228855722
